"","Year","Species","DetFun","Key","Adjust","Covar","Label","N","n_se","n_cv","n_lcl","n_ucl","D","d_se","d_cv","d_lcl","d_ucl"
"1","2010","BSD","annual","Hn","NA","NA","Grp",7015.87739685355,1430.91603581405,0.203953968245765,4668.03531335352,10544.5936766745,3.73184967917742,0.761125550964921,0.203953968245765,2.48299750710294,5.60882642376301
"2","2011","BSD","annual","Hn","NA","NA","Grp",7152.21010798959,1510.28278375302,0.211163089583444,4682.61588397193,10924.2591526508,3.80436707871787,0.803341906251606,0.211163089583444,2.4907531297723,5.81077614502703
"3","2013","BSD","annual","Hn","NA","NA","Grp",6234.2183125715,1183.81565358851,0.189889990089264,4267.0132477496,9108.35652767172,3.31607357051675,0.629689177440696,0.189889990089264,2.26968789773915,4.84487049344241
"4","2014","BSD","annual","Hn","NA","Observer + Habitat","Grp",9126.92714818973,1601.49637822832,0.1754693942688,6424.74527848864,12965.6189557072,4.85474848307964,0.851859775653362,0.1754693942688,3.41741770132375,6.89660582750383
"5","2016","BSD","annual","Hr","NA","AM/PM","Grp",7528.66282033829,1552.95113136819,0.206271839824328,4969.05782493292,11406.7426581234,4.00460788315867,0.826037835834146,0.206271839824328,2.64311586432602,6.06741630751244
"6","2018","BSD","annual","Hn",NA,"observer + habitat","Grp",6845.95280859755,1496.39411895665,0.218580840504391,4429.62183383536,10580.3772004991,3.64146425989231,0.795954318593961,0.218580840504391,2.35618182650817,5.62786021303143
"7","2020","BSD","annual","Hr",NA,"observer","Grp",5980.21169485199,1320.89409634815,0.22087748122449,3848.94684822731,9291.61490804052,3.18096366747446,0.702603242738376,0.22087748122449,2.0473121533124,4.9423483553407
"8","2010","BSD","annual","Hn","NA","NA","Ind",24289.1451650563,5127.0170337966,0.211082646134974,15935.8135565665,37021.1769079137,12.9197580665193,2.72713672010458,0.211082646134974,8.47649657264175,19.6921153765498
"9","2011","BSD","annual","Hn","NA","NA","Ind",25795.0540190179,5298.71532510535,0.205415942187939,17097.7007006125,38916.6253109236,13.7207734143712,2.81846559846029,0.205415942187939,9.09452164926198,20.7003326121934
"10","2013","BSD","annual","Hn","NA","NA","Ind",24444.0496682645,4699.47296855843,0.192254271789494,16652.6151837427,35880.944679963,13.0021540788641,2.49971966412683,0.192254271789494,8.85777403390568,19.0856088723208
"11","2014","BSD","annual","Hn","NA","Observer + Habitat","Ind",35351.0339922823,6282.6447736122,0.177721669328931,24753.5051100728,50485.6018881529,18.8037414852565,3.34183232638947,0.177721669328931,13.1667580372728,26.8540435575281
"12","2016","BSD","annual","Hr","NA","AM/PM","Ind",21744.1072266666,4117.2765008649,0.189351370371074,14876.556134973,31781.9658525176,11.5660144822695,2.19004069194941,0.189351370371074,7.91306177392182,16.9053009853817
"13","2018","BSD","annual","Hn",NA,"observer + habitat","Ind",27719.7101775502,5697.33125276182,0.205533579401418,18405.6065968339,41747.188732131,14.7445266901863,3.03049534721373,0.205533579401418,9.79021627491167,22.2059514532612
"14","2020","BSD","annual","Hr",NA,"observer","Ind",24929.3985363633,5351.96861682579,0.214685027760262,16241.0829131141,38265.6079468083,13.260318370406,2.84679181746053,0.214685027760262,8.63887388995431,20.3540467802172
