,Year,Species,DetFun,Key,Adjust,Covar,Label,N,n_se,n_cv,n_lcl,n_ucl,D,d_se,d_cv,d_lcl,d_ucl
1,2010,PIG,pooled,Hr,NA,year,Grp,1148.664385,269.8085928,0.234888969,723.0814888,1824.731915,0.610991694,0.143515209,0.234888969,0.384617813,0.970602082
2,2011,PIG,pooled,Hr,NA,year,Grp,680.441395,132.7443984,0.195085718,462.7216592,1000.602593,0.361936912,0.070608723,0.195085718,0.246128542,0.532235422
3,2013,PIG,pooled,Hr,NA,year,Grp,710.294119,189.0284051,0.266126947,419.5371561,1202.557934,0.377816021,0.100547024,0.266126947,0.223158062,0.639658475
4,2014,PIG,pooled,Hr,NA,year,Grp,1020.463087,190.7814872,0.186955794,703.9787394,1479.227787,0.542799515,0.101479514,0.186955794,0.374456776,0.786823291
5,2016,PIG,pooled,Hr,NA,year,Grp,737.7795295,202.4493815,0.274403631,429.2631441,1268.030209,0.39243592,0.107685841,0.274403631,0.22833146,0.674484153
6,2018,PIG,pooled,Hr,NA,year,Grp,560.243905,154.1918401,0.2752227,326.1900958,962.2402306,0.298002077,0.082016936,0.2752227,0.17350537,0.51182991
7,2020,PIG,pooled,Hr,NA,year,Grp,444.8425811,134.4275116,0.302191196,246.6167527,802.3985388,0.236618394,0.071503996,0.302191196,0.131179124,0.426807733
8,2022,PIG,pooled,Unif,Poly,NA,Grp,197.7163,80.91558,0.409251,89.28279,437.8418,0.1051682,0.0430402,0.409251,0.04749084,0.2328946
9,2010,PIG,pooled,Hr,NA,year,Ind,3377.073292,1039.218461,0.307727541,1846.345788,6176.86248,1.796315581,0.552775777,0.307727541,0.982098823,3.285565149
10,2011,PIG,pooled,Hr,NA,year,Ind,729.0443518,144.8429767,0.198675124,492.2522761,1079.742426,0.387789549,0.077044137,0.198675124,0.261836317,0.574331078
11,2013,PIG,pooled,Hr,NA,year,Ind,1174.717197,391.8714952,0.333587945,610.1174809,2261.794713,0.624849573,0.208442285,0.333587945,0.324530575,1.203082294
12,2014,PIG,pooled,Hr,NA,year,Ind,2067.091895,492.8160661,0.238410333,1288.407667,3316.395123,1.099516965,0.262136205,0.238410333,0.685323227,1.764039959
13,2016,PIG,pooled,Hr,NA,year,Ind,1831.728487,783.2083972,0.42757887,801.1430241,4188.052756,0.974323663,0.416600211,0.42757887,0.426139906,2.227687636
14,2018,PIG,pooled,Hr,NA,year,Ind,1266.638394,399.087082,0.315075782,683.2197155,2348.253109,0.673743827,0.212280363,0.315075782,0.363414742,1.249070802
15,2020,PIG,pooled,Hr,NA,year,Ind,1100.400069,354.6909999,0.322329133,587.0725306,2062.573616,0.585319186,0.188665426,0.322329133,0.312272623,1.097113625
16,2022,PIG,pooled,Unif,Poly,NA,Ind,282.4519,121.2382,0.4292348,123.0462,648.3667,0.1502403,0.06448839,0.4292348,0.0654501,0.3448759
