,Year,Species,DetFun,Key,Adjust,Covar,Label,N,n_se,n_cv,n_lcl,n_ucl,D,d_se,d_cv,d_lcl,d_ucl
1,2010,RMJ,pooled,Hn,NA,NA,Grp,3156.451644,525.1463894,0.166372385,2262.694185,4403.240634,1.67896364,0.279333186,0.166372385,1.203560737,2.342149274
2,2011,RMJ,pooled,Hn,NA,NA,Grp,3655.181633,595.3214956,0.162870564,2638.561212,5063.499269,1.944245549,0.31666037,0.162870564,1.403490007,2.693350675
3,2013,RMJ,pooled,Hn,NA,NA,Grp,3970.68274,609.2211037,0.153429811,2920.862627,5397.830517,2.112065287,0.324053779,0.153429811,1.553650334,2.871186445
4,2014,RMJ,pooled,Hn,NA,NA,Grp,4316.666207,759.7950079,0.176014306,3035.59674,6138.367095,2.296099046,0.404146281,0.176014306,1.614679117,3.26508888
5,2016,RMJ,pooled,Hn,NA,NA,Grp,2173.157553,465.9493253,0.214411203,1416.610378,3333.742168,1.155934869,0.247845386,0.214411203,0.753516158,1.77326711
6,2018,RMJ,pooled,Hn,NA,NA,Grp,1418.340199,250.191591,0.176397448,996.6563843,2018.437802,0.754436276,0.133080634,0.176397448,0.530136375,1.073637129
7,2020,RMJ,pooled,Hn,NA,NA,Grp,825.216116,188.1522227,0.228003573,523.7992704,1300.081303,0.438944743,0.10008097,0.228003573,0.278616633,0.691532608
8,2022,RMJ,pooled,Unif,CoS,NA,Grp,512.2637,134.5189,0.262597,302.0031,863.1953,0.2724807,0.0715526,0.262597,0.1617038,0.4591464
9,2010,RMJ,pooled,Hn,NA,NA,Ind,3383.386076,556.9655377,0.16461779,2433.866958,4703.338981,1.799673445,0.296258265,0.16461779,1.294610084,2.501776053
10,2011,RMJ,pooled,Hn,NA,NA,Ind,3967.209333,665.5178431,0.167754658,2836.06418,5549.504135,2.110217731,0.353998853,0.167754658,1.508544777,2.951863902
11,2013,RMJ,pooled,Hn,NA,NA,Ind,4258.034781,650.1544959,0.152688865,3136.88551,5779.892233,2.264912117,0.345826859,0.152688865,1.668556122,3.074410762
12,2014,RMJ,pooled,Hn,NA,NA,Ind,4316.666207,759.7950079,0.176014306,3035.59674,6138.367095,2.296099046,0.404146281,0.176014306,1.614679117,3.26508888
13,2016,RMJ,pooled,Hn,NA,NA,Ind,2173.157553,465.9493253,0.214411203,1416.610378,3333.742168,1.155934869,0.247845386,0.214411203,0.753516158,1.77326711
14,2018,RMJ,pooled,Hn,NA,NA,Ind,1573.068221,294.7749009,0.187388504,1081.547766,2287.965179,0.836738416,0.15679516,0.187388504,0.575291365,1.217002755
15,2020,RMJ,pooled,Hn,NA,NA,Ind,825.216116,188.1522227,0.228003573,523.7992704,1300.081303,0.438944743,0.10008097,0.228003573,0.278616633,0.691532608
16,2022,RMJ,pooled,Unif,Cos,NA,Ind,535.5484,142.4205,0.265934,315.783,908.2569,0.2848662,0.0757556,0.265934,0.1679697,0.4831154
