"","Sample.Label","Region.Label","Effort"
"1",1,2010,40000
"2",2,2010,40000
"3",3,2010,40000
"4",4,2010,40000
"5",5,2010,40000
"6",6,2010,40000
"7",7,2010,40000
"8",8,2010,40000
"9",9,2010,40000
"10",10,2010,40000
"11",11,2010,40000
"12",12,2010,40000
"13",13,2010,40000
"14",14,2010,40000
"15",15,2010,40000
"16",16,2010,40000
"17",17,2010,40000
"18",18,2010,40000
"19",19,2010,40000
"20",20,2010,40000
"21",21,2010,40000
"22",22,2010,40000
"23",23,2010,40000
"24",24,2010,40000
"25",25,2010,40000
"26",26,2010,40000
"27",27,2010,40000
"28",28,2010,40000
"29",29,2010,40000
"30",30,2010,40000
"31",31,2010,40000
"32",32,2010,40000
"33",33,2010,40000
"34",34,2010,40000
"35",35,2010,40000
"36",36,2010,40000
"37",37,2010,40000
"38",38,2010,40000
"39",39,2010,40000
"40",40,2010,40000
"41",1,2011,32000
"42",2,2011,32000
"43",3,2011,92000
"44",4,2011,16000
"45",5,2011,64000
"46",6,2011,32000
"47",7,2011,32000
"48",8,2011,64000
"49",9,2011,64000
"50",10,2011,64000
"51",11,2011,64000
"52",12,2011,8000
"53",13,2011,16000
"54",14,2011,16000
"55",15,2011,64000
"56",16,2011,64000
"57",17,2011,64000
"58",18,2011,16000
"59",19,2011,16000
"60",20,2011,16000
"61",21,2011,16000
"62",22,2011,16000
"63",23,2011,16000
"64",24,2011,16000
"65",25,2011,64000
"66",26,2011,64000
"67",27,2011,16000
"68",28,2011,16000
"69",29,2011,16000
"70",30,2011,56000
"71",31,2011,56000
"72",32,2011,64000
"73",33,2011,64000
"74",34,2011,64000
"75",35,2011,16000
"76",36,2011,16000
"77",37,2011,16000
"78",38,2011,8000
"79",39,2011,8000
"80",40,2011,16000
"81",1,2013,32000
"82",2,2013,32000
"83",3,2013,32000
"84",4,2013,32000
"85",5,2013,32000
"86",6,2013,32000
"87",7,2013,32000
"88",8,2013,32000
"89",9,2013,32000
"90",10,2013,32000
"91",11,2013,32000
"92",12,2013,16000
"93",13,2013,32000
"94",14,2013,32000
"95",15,2013,32000
"96",16,2013,32000
"97",17,2013,32000
"98",18,2013,32000
"99",19,2013,32000
"100",20,2013,32000
"101",21,2013,32000
"102",22,2013,32000
"103",23,2013,32000
"104",24,2013,32000
"105",25,2013,32000
"106",26,2013,32000
"107",27,2013,32000
"108",28,2013,32000
"109",29,2013,32000
"110",30,2013,32000
"111",31,2013,32000
"112",32,2013,32000
"113",33,2013,32000
"114",34,2013,32000
"115",35,2013,32000
"116",36,2013,32000
"117",37,2013,32000
"118",38,2013,32000
"119",39,2013,32000
"120",40,2013,32000
"121",1,2014,8000
"122",2,2014,32000
"123",3,2014,64000
"124",4,2014,24000
"125",5,2014,48000
"126",6,2014,52000
"127",7,2014,32000
"128",8,2014,48000
"129",9,2014,48000
"130",10,2014,48000
"131",11,2014,56000
"132",12,2014,16000
"133",13,2014,16000
"134",14,2014,24000
"135",15,2014,48000
"136",16,2014,48000
"137",17,2014,48000
"138",18,2014,40000
"139",19,2014,16000
"140",20,2014,16000
"141",21,2014,16000
"142",22,2014,16000
"143",23,2014,16000
"144",24,2014,16000
"145",25,2014,40000
"146",26,2014,56000
"147",27,2014,32000
"148",28,2014,16000
"149",29,2014,16000
"150",30,2014,40000
"151",31,2014,40000
"152",32,2014,48000
"153",33,2014,48000
"154",34,2014,48000
"155",35,2014,16000
"156",36,2014,16000
"157",37,2014,16000
"158",38,2014,16000
"159",39,2014,16000
"160",40,2014,16000
"161",1,2016,44000
"162",2,2016,44000
"163",3,2016,40000
"164",4,2016,40000
"165",5,2016,40000
"166",6,2016,24000
"167",7,2016,44000
"168",8,2016,40000
"169",9,2016,40000
"170",10,2016,40000
"171",11,2016,40000
