,Year,Species,DetFun,Key,Adjust,Covar,Label,N,n_se,n_cv,n_lcl,n_ucl,D,d_se,d_cv,d_lcl,d_ucl
1,2010,BSD,annual,Hn,NA,NA,Grp,7015.877397,1430.916036,0.203953968,4668.035313,10544.59368,3.731849679,0.761125551,0.203953968,2.482997507,5.608826424
2,2011,BSD,annual,Hn,NA,NA,Grp,7152.210108,1510.282784,0.21116309,4682.615884,10924.25915,3.804367079,0.803341906,0.21116309,2.49075313,5.810776145
3,2013,BSD,annual,Hn,NA,NA,Grp,6234.218313,1183.815654,0.18988999,4267.013248,9108.356528,3.316073571,0.629689177,0.18988999,2.269687898,4.844870493
4,2014,BSD,annual,Hn,NA,Observer + Habitat,Grp,9126.927148,1601.496378,0.175469394,6424.745278,12965.61896,4.854748483,0.851859776,0.175469394,3.417417701,6.896605828
5,2016,BSD,annual,Hr,NA,AM/PM,Grp,7528.66282,1552.951131,0.20627184,4969.057825,11406.74266,4.004607883,0.826037836,0.20627184,2.643115864,6.067416308
6,2018,BSD,annual,Hn,NA,observer + habitat,Grp,6845.952809,1496.394119,0.218580841,4429.621834,10580.3772,3.64146426,0.795954319,0.218580841,2.356181827,5.627860213
7,2020,BSD,annual,Hr,NA,observer,Grp,5980.211695,1320.894096,0.220877481,3848.946848,9291.614908,3.180963667,0.702603243,0.220877481,2.047312153,4.942348355
8,2022,BSD,annual,Hr,NA,habitat,Grp,5802.304,1372.474,0.2365396,3624.39,9288.936,3.086332,0.7300396,0.2365396,1.927867,4.940924
9,2010,BSD,annual,Hn,NA,NA,Ind,24289.14517,5127.017034,0.211082646,15935.81356,37021.17691,12.91975807,2.72713672,0.211082646,8.476496573,19.69211538
10,2011,BSD,annual,Hn,NA,NA,Ind,25795.05402,5298.715325,0.205415942,17097.7007,38916.62531,13.72077341,2.818465598,0.205415942,9.094521649,20.70033261
11,2013,BSD,annual,Hn,NA,NA,Ind,24444.04967,4699.472969,0.192254272,16652.61518,35880.94468,13.00215408,2.499719664,0.192254272,8.857774034,19.08560887
12,2014,BSD,annual,Hn,NA,Observer + Habitat,Ind,35351.03399,6282.644774,0.177721669,24753.50511,50485.60189,18.80374149,3.341832326,0.177721669,13.16675804,26.85404356
13,2016,BSD,annual,Hr,NA,AM/PM,Ind,21744.10723,4117.276501,0.18935137,14876.55613,31781.96585,11.56601448,2.190040692,0.18935137,7.913061774,16.90530099
14,2018,BSD,annual,Hn,NA,observer + habitat,Ind,27719.71018,5697.331253,0.205533579,18405.6066,41747.18873,14.74452669,3.030495347,0.205533579,9.790216275,22.20595145
15,2020,BSD,annual,Hr,NA,observer,Ind,24929.39854,5351.968617,0.214685028,16241.08291,38265.60795,13.26031837,2.846791817,0.214685028,8.63887389,20.35404678
16,2022,BSD,annual,Hr,NA,habitat,Ind,20133.57,4880.641,0.2424131,12433.64,32601.93,10.70934,2.596086,0.2424131,6.613636,17.34145
