"","Year","Q2.5","Q7.5","Q50","Q92.5","Q97.5"
"1",2010,481.501172179457,817.054644753436,2643.09561601346,5442.43836684396,6695.75758714888
"2",2010.12121212121,499.73998120187,845.305522021917,2655.35535959525,5434.28998557096,6647.94567769437
"3",2010.24242424242,518.903345961106,862.990711237525,2675.87629868815,5444.18800502186,6647.19310600666
"4",2010.36363636364,531.312730236854,877.833163030126,2701.68177796455,5432.76875000082,6632.23778931855
"5",2010.48484848485,550.063453997909,894.04838440411,2720.40778532698,5411.16918656843,6611.02395548629
"6",2010.60606060606,563.231582436709,917.186027994244,2747.19494318016,5406.68640495289,6606.07182640255
"7",2010.72727272727,568.835399420943,927.536282479554,2760.6757719566,5405.13640200922,6583.69210303951
"8",2010.84848484848,583.427320142012,950.017643472299,2784.86453483546,5394.60759013653,6596.78429167322
"9",2010.9696969697,600.366919441972,967.703046012776,2793.93895971222,5388.84994387516,6605.54517707188
"10",2011.09090909091,613.342721413689,988.460056156446,2816.5353086162,5407.98964738144,6589.30308321973
"11",2011.21212121212,616.595363920458,1006.51489043558,2825.0113268243,5391.14816947987,6581.87208386099
"12",2011.33333333333,624.978892544573,1014.69401906537,2842.43811575963,5405.95048697584,6552.48316495624
"13",2011.45454545455,645.438065738471,1035.91558437416,2852.83062831376,5407.7450715097,6537.99725754078
"14",2011.57575757576,653.567910396252,1046.853806033,2872.62244532547,5392.89366227747,6517.86228613221
"15",2011.69696969697,668.679554620129,1060.95333058424,2887.03797332949,5399.29156165873,6508.93349214843
"16",2011.81818181818,676.078820355782,1074.2978135407,2898.52566996427,5389.64432660033,6493.15825361153
"17",2011.93939393939,682.413847356941,1088.41259305834,2904.65371134976,5392.60847294418,6442.72431330146
"18",2012.06060606061,695.390264287292,1106.28941585673,2920.46816633857,5391.7263306773,6409.56505774791
"19",2012.18181818182,709.809409677682,1123.66640730832,2937.42546509858,5411.66781060481,6440.70284527951
"20",2012.30303030303,704.038143255943,1133.15176463566,2937.54064919827,5412.62311819495,6421.46440344005
"21",2012.42424242424,718.940580719531,1147.35114787053,2957.73339645595,5402.10493267106,6411.24220348979
"22",2012.54545454545,719.06817641923,1158.87344405286,2965.89205374394,5394.29437236043,6381.62112664866
"23",2012.66666666667,718.231386265031,1183.54210839326,2970.80306053521,5408.69666137256,6374.49296967914
"24",2012.78787878788,721.832893450628,1198.53078286066,2985.87913389201,5389.98986938326,6378.12484473592
"25",2012.90909090909,727.817500479753,1206.68338369966,2987.04767448655,5395.13716312501,6380.12978630304
"26",2013.0303030303,727.914016396326,1205.8682540621,2993.7541360727,5407.17541150989,6348.59109003581
"27",2013.15151515152,731.300347003062,1220.86184261484,3006.22361468663,5422.25636788686,6315.59092133573
"28",2013.27272727273,730.913155919554,1234.2832807548,3015.3355247195,5416.20133122323,6308.43614789704
"29",2013.39393939394,725.452779922669,1244.64018514056,3015.80313695086,5414.28539569458,6302.46555533905
"30",2013.51515151515,729.890940430032,1258.55370098452,3013.99465996218,5404.64191791211,6308.11519558335
"31",2013.63636363636,740.501606173198,1255.26819078437,3020.21587409101,5409.51253102514,6285.63834289112
"32",2013.75757575758,746.542398202818,1262.34429579357,3022.83032459224,5408.15406735204,6288.85210563792
"33",2013.87878787879,755.422676987923,1268.61460413517,3024.43895400885,5373.24843301967,6299.12515174307
"34",2014,765.741892122777,1279.19541693971,3032.90862816136,5366.64478505444,6303.30313221144
"35",2014.12121212121,772.063354805025,1280.10531589647,3041.43544776454,5368.24479228673,6270.06191179486
"36",2014.24242424242,784.650167696994,1281.07582240577,3046.58823816127,5343.82808475865,6273.14791435305
"37",2014.36363636364,789.871878117093,1286.26106743983,3052.96997656705,5333.71779190453,6275.10892406724
"38",2014.48484848485,781.372398232309,1290.88647109276,3063.30390975158,5330.08944947862,6261.48616580804
"39",2014.60606060606,795.142041170656,1302.03242672518,3067.76973752091,5307.17861675514,6246.2134120283
"40",2014.72727272727,809.724029851926,1305.53622293327,3077.34550308086,5314.91053324502,6225.27679046108
"41",2014.84848484848,825.153632699394,1309.10871596491,3078.20779164911,5293.39144613076,6211.85482147167
"42",2014.9696969697,837.687094136959,1302.17876057516,3080.89490465934,5292.28565059796,6208.69544099324
"43",2015.09090909091,844.581713501557,1314.24536385971,3089.46358463901,5281.61591337629,6232.76397553002
"44",2015.21212121212,856.43224094908,1319.95587748968,3081.31470328025,5283.67269470015,6238.25809250243
"45",2015.33333333333,860.801095358838,1320.30569909489,3084.61295266136,5285.90203075879,6254.55919458205
"46",2015.45454545455,876.214989043753,1324.50555291216,3084.06191286221,5280.38893193539,6227.01950172666
"47",2015.57575757576,890.637541018556,1330.43559373548,3090.22652618602,5267.60207064301,6239.88786292675
